OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1105244,04092021954,EDIBLE ARRANGEMENTS #365-CARY,207 CROSSROADS BLVD ,,CARY,NC,27511,(919) 851-7065,2016/04/15 00:00:00+00,Food Stand,123,-78.73871452,35.76064286,M
1105245,04092017193,CRAFTY BEER SHOP,8450 HONEYCUTT RD ,Suite 108,RALEIGH,NC,27615,(919) 703-0874,2016/04/05 00:00:00+00,Restaurant,128,-78.62166097,35.89510574,M
1105246,04092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",,KNIGHTDALE,NC,27545,(919) 373-0325,2017/03/09 00:00:00+00,Restaurant,149,-78.48999453,35.79638911,M
1105247,04092016891,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,,RALEIGH,NC,27606,(919) 858-6501,2015/04/08 00:00:00+00,Restaurant,161,-78.68893912,35.78436913,M
1105248,04092016164,RUCKUS PIZZA PASTA & SPIRITS #3,1101 MARKET CENTER  DR ,,MORRISVILLE,NC,27560,(919) 388-3500,2012/04/19 00:00:00+00,Restaurant,163,-78.81676023,35.80454378,M
1105249,04092022031,CARVEL,5959 TRIANGLE TOWN BLVD ,,RALEIGH,NC,27616,(919) 449-0072,2017/08/30 00:00:00+00,Food Stand,164,-78.57603863,35.86599856,M
1105250,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 00:00:00+00,Food Stand,190,-78.83920922,35.63987917,M
1105251,04092018430,Dogwood Bar & Eatery,610 GLENWOOD AVE,,RALEIGH,NC,27603,(919) 977-3714,2020/09/01 00:00:00+00,Restaurant,191,-78.64681795,35.78777191,M
1105252,04092017901,Vaishno Bhog,810 E Chatham ST ,,CARY,NC,27560,(919) 678-3172,2018/07/11 00:00:00+00,Restaurant,210,-78.76305622,35.79140272,M
1105253,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009/12/30 00:00:00+00,Private School Lunchrooms,213,-78.62608851,35.88760817,M
1105254,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018/07/25 00:00:00+00,Restaurant,214,-78.6456917,35.77945516,M
1105255,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016/03/29 00:00:00+00,Restaurant,215,-78.58356211,35.69799194,M
1105256,04092021583,HARRIS TEETER #311 PRODUCE,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 00:00:00+00,Food Stand,227,-78.83920922,35.63987917,M
1105257,04092021936,CIRCLE K #3146,1720  N MAIN ST ,,FUQUAY VARINA,NC,27526,,2016/02/25 00:00:00+00,Food Stand,235,-78.75810908,35.59678082,M
1105258,04092025272,Harris Teeter #496 Meat/Seafood,940 US 64 HWY W,,APEX,NC,27523-7184,,2019/07/15 00:00:00+00,Food Stand,244,-78.82197042,35.74562504,M
1105259,04092015443,MoonRunners Saloon,1506 US 70 HWY W ,,GARNER,NC,27529,(919) 662-5119,2009/08/12 00:00:00+00,Restaurant,245,-78.64623771,35.72377782,M
1105260,04092021896,FOOD LION #1481 PRODUCE,7713 LEAD MINE RD ,,RALEIGH,NC,27615,(919) 518-1607,2015/10/21 00:00:00+00,Food Stand,252,-78.66044244,35.88617531,T
1105261,04092017188,CHAMPA THAI & SUSHI,8521 BRIER CREEK  PKY ,STE 119,RALEIGH,NC,27617,(919) 806-0078,2016/03/31 00:00:00+00,Restaurant,256,-78.78334742,35.90685073,M
1105262,04092014473,Pat Murnane's Irish Pub,2101 S Main  ST ,STE 112,WAKE FOREST ,NC,27587,(919) 562-5570,2006/01/20 00:00:00+00,Restaurant,266,-78.53310077,35.94802112,M
1105263,04092300278,GRAND ASIA MEAT MARKET,1253 BUCK JONES RD ,,RALEIGH,NC,27606-3326,(919) 468-2988,2017/02/22 00:00:00+00,Meat Market,267,-78.74067496,35.76583498,M
1105264,04092017191,TAMARIND,8531-109 BRIER CREEK PKY ,,RALEIGH,NC,27617,(919) 406-3473,2016/03/31 00:00:00+00,Restaurant,27,-78.78606215,35.90557616,M
1105265,04092040381,Wicked Links #4 (WCID #728),1101 BEAVER CREEK COMMONS DR,,APEX,NC,27502-3920,(919) 855-8548,2020/02/25 00:00:00+00,Pushcarts,276,-78.87546661,35.74471718,M
1105266,04092015917,THAI CAFE #2,3309 ROGERS RD ,,WAKE FOREST,NC,27587,(919) 453-1679,2011/03/23 00:00:00+00,Restaurant,280,-78.51539337,35.95073316,M
1105267,04092017327,Chipotle  #2822,1081 PINE PLAZA DR ,,APEX,NC,27502,(919) 362-5435,2016/09/20 00:00:00+00,Restaurant,281,-78.82939266,35.74657076,M
1105268,04092017521,MCDONALDS #13159,1725 New Hope Church Rd,,RALEIGH,NC,27609,(919) 713-0903,2017/02/22 00:00:00+00,Restaurant,292,-78.60826495,35.83722719,M
1105269,04092016489,SONIC DRIVE IN #6020,1925 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 554-1209,2013/08/20 00:00:00+00,Restaurant,302,-78.52999701,35.94975468,M
1105270,04092018247,PIZZA HUT #2020,11010 LAKE GROVE  BLVD ,,MORRISVILLE,NC,27650,(919) 234-0652,2019/12/03 00:00:00+00,Restaurant,304,-78.84707532,35.82315923,M
1105271,04092016255,BOTTLE MIXX,8111 CREEDMOOR RD ,STE 153,RALEIGH,NC,27613,(919) 615-1703,2012/09/11 00:00:00+00,Restaurant,305,-78.68248786,35.89850336,M
1105272,04092016438,PDQ WAKE FOREST,11690 NORTHPARK DR ,,WAKE FOREST,NC,27587,(919) 648-4221,2013/05/31 00:00:00+00,Restaurant,308,-78.54504471,35.96485726,M
1105273,04092017336,GREENWAY BEER AND WINE,7530 RAMBLE WAY ,SUITE 103,RALEIGH,NC,27616,(919) 803-6920,2016/09/27 00:00:00+00,Restaurant,312,-78.537511,35.87630713,M
1105274,04092017179,DUCK DONUTS,8323 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 847-8300,2016/03/08 00:00:00+00,Restaurant,315,-78.68223183,35.90105252,M
1105275,04092022008,KINGS WOK,8320 Litchford  RD ,SUITE 160,RALEIGH,NC,27615,(919) 878-5252,2017/03/09 00:00:00+00,Food Stand,321,-78.59988229,35.89223772,M
1105276,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Food Stand,331,-78.82726689,35.7464159,M
1105277,04092021928,CIRCLE K #2723302,1414  E WILLIAMS ST ,,APEX,NC,27539,(919) 362-5131,2016/02/25 00:00:00+00,Food Stand,338,-78.83931692,35.71149361,M
1105278,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 00:00:00+00,Restaurant,81,-78.54049905,35.87559319,M
1105279,04092016263,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 436-3995,2012/09/20 00:00:00+00,Restaurant,339,-78.70609774,35.86074545,M
1105280,04092030440,Taco Veloz  (WCID #736),1312 N ARENDELL AVE,,ZEBULON,NC,27597-8732,(914) 497-2580,2019/08/26 00:00:00+00,Mobile Food Units,341,-78.32392727,35.83867806,M
1105281,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Food Stand,342,-78.82726689,35.7464159,M
1105282,04092017192,STARBUCKS #19453,185 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-3246,2016/04/05 00:00:00+00,Restaurant,345,-78.84948074,35.66266499,M
1105283,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 00:00:00+00,Restaurant,348,-78.64931864,35.78886208,M
1105284,04092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,SUITE 101,CARY,NC,27511,(919) 377-8244,2017/02/21 00:00:00+00,Restaurant,349,-78.77734174,35.78786553,M
1105285,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 00:00:00+00,Food Stand,90,-78.63887103,35.83819686,M
1105286,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020/01/27 00:00:00+00,Restaurant,352,-78.78193974,35.75976658,M
1105287,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019/12/02 00:00:00+00,Restaurant,353,-78.58054205,35.69110315,M
1105288,04092015099,Subway #41217,8410-140 Louisburg RD ,,RALEIGH,NC,27616,(919) 266-0300,2008/03/25 00:00:00+00,Restaurant,166,-78.51125194,35.89400635,M
1105289,04092016487,PEACE CHINA,13220 Strickland  RD ,Ste 167,RALEIGH,NC,27613,(919) 676-9968,2013/08/14 00:00:00+00,Restaurant,365,-78.72593809,35.90878313,M
1105290,04092016699,Sukhadia's Indian Cuisine,6715 Hillsborough Street,Suite 102,RALEIGH,NC,27606,(919) 389-1200,2014/05/30 00:00:00+00,Restaurant,379,-78.7439181,35.78820637,M
1105291,04092021889,FOOD LION #2504 PRODUCE,1030-125 N ROGERS LN ,,RALEIGH,NC,27610,(919) 792-0321,2015/10/06 00:00:00+00,Food Stand,295,-78.54967347,35.79198567,M
1105292,04092017849,The Melting Pot,3100 Wake Forest RD ,,RALEIGH,NC,27609-7846,(919) 878-0477,2018/05/14 00:00:00+00,Restaurant,381,-78.62038753,35.82333592,M
1105293,04092030223,Valentino's (WCID 378),4820 Signett DR ,,RALEIGH,NC,27615,(919) 376-5814,2010/07/09 00:00:00+00,Mobile Food Units,382,-78.58339304,35.85150753,M
1105294,04092021897,FOOD LION #1482 PRODUCE,5426 SIX FORKS RD ,,RALEIGH,NC,27609,(919) 676-3386,2015/10/22 00:00:00+00,Food Stand,392,-78.64059702,35.85499105,M
1105295,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019/11/13 00:00:00+00,Restaurant,306,-78.62699406,35.77656647,M
1105296,04092021900,FOOD LION #90 PRODUCE,4317 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 872-5376,2015/10/22 00:00:00+00,Food Stand,395,-78.61339277,35.84095998,M
1105297,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019/07/29 00:00:00+00,Food Stand,354,-78.63544584,35.77685868,M
1105298,04092014757,Arby's #7814,2601 Wake Forest RD ,,RALEIGH,NC,27609,(919) 832-6885,2007/01/08 00:00:00+00,Restaurant,404,-78.62513234,35.81840468,M
1105299,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 00:00:00+00,Food Stand,367,-78.63887103,35.83819686,M
1105300,04092021893,FOOD LION #1654 PRODUCE,7440 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 875-1394,2015/10/21 00:00:00+00,Food Stand,413,-78.53977,35.87454018,M
1105301,04092030438,Jerk Man Island Cuisine (WCID #732),2161 S Wilmington ST ,,RALEIGH,NC,27603,(919) 943-7074,2019/08/21 00:00:00+00,Mobile Food Units,393,-78.64171063,35.75324624,M
1105302,04092017187,THE 19TH HOLE,1527 TRYON RD ,,RALEIGH,NC,27603,(919) 772-9987,2016/04/01 00:00:00+00,Restaurant,422,-78.66755526,35.73521897,M
1105303,04092017181,COSTCO WHOLESALE #1206 FOOD COURT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 00:00:00+00,Restaurant,426,-78.82726689,35.7464159,M
1105304,04092017178,RALEIGH RAW,7 W HARGETT ST ,,RALEIGH,NC,27601,(919) 400-0944,2016/03/14 00:00:00+00,Restaurant,427,-78.63957991,35.77810063,M
1105305,04092018368,D's Bottle Shop,13200 Falls of Neuse RD ,STE 115,RALEIGH,NC,27614,(919) 435-7034,2020/05/20 00:00:00+00,Restaurant,428,-78.55981965,35.9407555,M
1105306,04092017322,BADA BEAN COFFEE & THINGS,938 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(984) 235-4608,2016/09/16 00:00:00+00,Restaurant,437,-78.4951784,35.96732914,M
1105307,04092018287,Zanyu Asian Noodles,8450 HONEYCUTT RD ,STE. 112,RALEIGH,NC,27615,(919) 803-1340,2020/01/07 00:00:00+00,Restaurant,445,-78.62166097,35.89510574,M
1105308,04092016264,THE YARD HOUSE #41,4208 SIX FORKS  RD ,C110,RALEIGH,NC,27609,(919) 881-2590,2012/09/21 00:00:00+00,Restaurant,471,-78.63994726,35.83691426,M
1105309,04092017271,WENDY'S #6335,4510 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 661-0711,2016/08/17 00:00:00+00,Restaurant,472,-78.65542454,35.71891124,M
1105310,04092017894,Which Wich #670,7202 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 373-8883,2018/07/26 00:00:00+00,Restaurant,481,-78.48704631,35.79788571,M
1105311,04092015471,CHICK-FIL-A #2181,801 VILLAGE WALK  DR ,,HOLLY SPRING,NC,27540,(919) 567-0060,2009/09/02 00:00:00+00,Restaurant,495,-78.83457704,35.6392159,M
1105312,04092021725,MCDONALDS #10267,4325-2051 GLENWOOD AVE ,,RALEIGH,NC,27624,(919) 782-8240,2012/11/19 00:00:00+00,Food Stand,412,-78.67658819,35.8395892,M
1105313,04092025298,Pizza Hut Delivery #036624,4011 Capital BLVD ,,RALEIGH,NC,27604,(919) 790-8111,2019/12/03 00:00:00+00,Food Stand,496,-78.58372976,35.83623733,M
1105314,04092021894,FOOD LION #2534 PRODUCE,13200 NEW FALLS ON NEUSE RD ,,RALEIGH,NC,27614,(919) 562-8912,2015/10/21 00:00:00+00,Food Stand,414,0,0,U
1105315,04092025265,Mama Crow's,500 E Davie  ST ,STE 116,RALEIGH,NC,27601,,2019/06/18 00:00:00+00,Food Stand,502,-78.63206132,35.77487463,M
1105316,04092021901,FOOD LION #723 PRODUCE,7053 US 64 HWY E ,,KNIGHTDALE,NC,27545,(919) 266-5164,2015/10/27 00:00:00+00,Food Stand,415,0,0,U
1105317,04092016118,TENKO JAPAN,6325 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 876-4545,2012/03/01 00:00:00+00,Restaurant,508,-78.62251606,35.86922851,M
1105318,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017/03/01 00:00:00+00,Restaurant,421,-78.61376,35.75438832,M
1105319,04092025207,Living Fit NC,1040 Buck Jones RD ,,RALEIGH,NC,27606,(315) 416-0914,2018/07/13 00:00:00+00,Food Stand,540,-78.74221997,35.77034967,M
1105320,04092030290,TAQUERIA LA COSTENA (WCID #537),"Corner of Green Level West Rd &amp; Autumn Shade Dr",,Cary,NC,00000,(919) 244-0786,2015/10/09 00:00:00+00,Mobile Food Units,482,0,0,U
1105321,04092017051,JERSEY MIKE'S #349,3201-139 EDWARDS MILL RD ,,RALEIGH,NC,27612,(984) 202-5627,2015/10/09 00:00:00+00,Restaurant,519,-78.70556784,35.82545067,M
1105322,04092021447,Hungry Howie's Pizza,1814-106 Oberlin RD ,,RALEIGH,NC,27608,(919) 789-0001,2007/05/04 00:00:00+00,Food Stand,523,-78.65535151,35.80875926,M
1105323,04092014948,Hardee's #1189,100 Vandora Springs RD ,,GARNER,NC,27529,(919) 772-7209,2007/09/12 00:00:00+00,Restaurant,549,-78.62108066,35.71260367,M
1105324,04092016808,HARRIS TEETER #257 STARBUCKS,2080 KILDAIRE FARM ROAD,,CARY,NC,27518,(919) 233-9483,2014/11/10 00:00:00+00,Restaurant,553,-78.78068706,35.73567462,M
1105325,04092015515,CAJUN CRAB HOUSE,6204-120 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 781-7599,2009/11/10 00:00:00+00,Restaurant,525,-78.70283224,35.85653115,M
1105326,04092021892,FOOD LION #815 PRODUCE,2837 WENDELL BLVD ,,WENDELL,NC,27591,(919) 365-3002,2015/10/21 00:00:00+00,Food Stand,557,-78.38037181,35.79568777,M
1105327,04092014980,Daly Cafe and Pub at Holiday Inn,930 Airport BLVD ,,MORRISVILLE,NC,27560,(919) 465-1910 ext. 101,2007/10/17 00:00:00+00,Restaurant,563,-78.82187156,35.85658845,M
1105328,04092018168,THAI'S NOODLE,2101 GRACE PARK DR ,,MORRISVILLE,NC,27560,(919) 481-3036,2019/09/05 00:00:00+00,Restaurant,577,-78.84652326,35.82111262,M
1105329,04092017925,Dominos #8849,708 Slash Pine DR ,,CARY,NC,27519,(919) 439-5859,2018/08/07 00:00:00+00,Restaurant,588,-78.90892711,35.83075427,M
1105330,04092014842,Panda Express #1352,1000 Beaver Creek Commons DR ,,APEX,NC,27502,(919) 362-6369,2007/04/05 00:00:00+00,Restaurant,589,-78.87317907,35.74519929,M
1105331,04092014599,Poppy Seed Market,8801-107 Lead Mine RD ,,RALEIGH,NC,27615,(919) 870-4997,2006/05/31 00:00:00+00,Restaurant,585,-78.65799167,35.90484309,M
1105332,04092016163,FLYING BURRITO,4800 GROVE BARTON RD ,,RALEIGH,NC,27613,(919) 785-2734,2012/04/18 00:00:00+00,Restaurant,591,-78.71583123,35.87110639,M
1105333,04092014860,Jersey Mike's #3042,7949 Fayetteville RD,,RALEIGH,NC,27603,(919) 661-0111,2007/04/24 00:00:00+00,Restaurant,606,-78.69742539,35.66508155,M
1105334,04092025263,Oriental Pho,5959 TRIANGLE TOWN BLVD,1116,RALEIGH,NC,27616,(919) 449-0807,2019/06/12 00:00:00+00,Restaurant,614,-78.57603863,35.86599856,M
1105335,04092016397,GINO'S PIZZA,6260 GLENWOOD AVE ,STE 126,RALEIGH,NC,27612-2650,(919) 783-7555,2013/04/04 00:00:00+00,Restaurant,615,-78.70313649,35.85876954,M
1105336,04092021710,FIRE WOK,442 FAYETTEVILLE ST ,,RALEIGH,NC,27601,(919) 821-8089,2012/06/08 00:00:00+00,Food Stand,618,-78.63936414,35.77440995,M
1105337,04092016148,TAIPEI AUTHENTIC CHINESE CUISINE,121 E CHATHAM ST ,,CARY,NC,27511,(919) 388-5885,2012/04/18 00:00:00+00,Restaurant,632,-78.78052303,35.78769406,M
1105338,04092021888,LOWES FOODS #191 BEEF SHOP,9600 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 847-5661,2015/10/02 00:00:00+00,Food Stand,642,-78.65568292,35.90277448,M
1105339,04092021744,LITTLE TOKYO,5959 TRIANGLE TOWN BLVD ,FC 1132,RALEIGH,NC,27616,(919) 792-0111,2013/05/28 00:00:00+00,Food Stand,656,-78.57603863,35.86599856,M
1105340,04092160084,THE CARDINAL AT NORTH HILLS FOOD SERVICE,311 GARDEN AT NORTH HILLS ST ,,RALEIGH,NC,27609,(984) 204-8444,2017/05/05 00:00:00+00,Institutional Food Service,665,-78.63539181,35.83593253,M
1105341,04092015734,Wade Park Cafe,5430  WADE PARK  BLVD ,,RALEIGH,NC,27607,(919) 859-5220,2010/10/18 00:00:00+00,Restaurant,668,-78.72815151,35.80750324,M
1105342,04092018319,SIP Noshery,400 Southtown CIR ,,ROLESVILLE,NC,27571,(919) 263-8126,2020/02/11 00:00:00+00,Restaurant,671,-78.47039569,35.91648377,M
1105343,04092017043,BALI-HAI,1571 HWY. 70 W ,,GARNER,NC,27529,(984) 200-5100,2015/09/26 00:00:00+00,Restaurant,604,0,0,U
1105344,04092021950,KANGAROO EXPRESS #2720869,8500 HARPS MILL RD ,,RALEIGH,NC,27615-3834,(919) 872-0614,2016/03/16 00:00:00+00,Food Stand,683,-78.60165311,35.89132184,M
1105345,04092015101,Michelangelos,7280 GB Alford  HWY ,,HOLLY SPRINGS,NC,27540,(919) 557-4992,2008/03/26 00:00:00+00,Restaurant,697,-78.83292783,35.63500069,M
1105346,04092017927,Showmars - Wake Forest,1009-128 Stadium DR ,,WAKE FOREST,NC,27587,(919) 554-9608,2018/07/20 00:00:00+00,Restaurant,624,-78.52993342,35.99015656,M
1105347,04092021574,WALMART SUPERCENTER #4250 DELI,1001 SHILOH GLENN  DR ,,MORRISVILLE,NC,27560,(919) 474-2285,2009/06/16 00:00:00+00,Food Stand,709,-78.84693338,35.86659083,M
1105348,04092014558,KFC #J120095,4040 Capital BLVD,,RALEIGH,NC,27604,(919) 872-5356,2006/04/24 00:00:00+00,Restaurant,712,-78.58107016,35.83615994,M
1105349,04092014893,Moe's Southwest Grill #837,1016-A Shoppes at Midway Drive ,,KNIGHTDALE,NC,27545,(919) 266-1018,2007/06/25 00:00:00+00,Restaurant,703,-78.50550835,35.79794748,M
1105350,04092016470,OLIVE GARDEN #4441,107 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 552-2237,2013/07/30 00:00:00+00,Restaurant,713,-78.84948074,35.66266499,M
1105351,04092018427,El Mandado Supermarket & Taqueria,2950 E MILLBROOK RD,,RALEIGH,NC,27604,(919) 878-1800,2020/08/30 00:00:00+00,Restaurant,715,-78.58256656,35.84852909,M
1105352,04092021403,Harris Teeter #283 Produce ,8101 Fayetteville  RD ,,FUQUAY VARINA ,NC,27603,(919) 772-0241,2006/08/16 00:00:00+00,Food Stand,717,-78.70134774,35.66356114,M
1105353,04092021891,FOOD LION #669 PRODUCE,405 S MAIN ST ,,ROLESVILLE,NC,27571,(919) 554-4018,2015/10/14 00:00:00+00,Food Stand,725,-78.46472721,35.91731538,T
1105354,04092017669,FIRST CHINA RESTAURANT,6452 TRYON  RD ,,CARY,NC,27518,(919) 852-5857,2017/08/25 00:00:00+00,Restaurant,728,-78.7615544,35.74559939,M
1105355,04092021899,FOOD LION #193 PRODUCE,5633 CREEDMOOR RD ,,RALEIGH,NC,27612,(919) 781-0597,2015/10/22 00:00:00+00,Food Stand,729,-78.68200551,35.85879117,M
1105356,04092014551,KFC/Taco Bell #J120102,3408 Poole RD,,RALEIGH,NC,27610,(919) 212-2504,2006/04/24 00:00:00+00,Restaurant,759,-78.57981204,35.76819436,M
1105357,04092015519,GOLDEN CHINA CHINESE RESTAURANT,2432 SW CARY PKY ,,CARY,NC,27513,(919) 380-7891,2009/11/24 00:00:00+00,Restaurant,787,-78.82085718,35.76363975,M
1105358,04092021962,PUBLIX #1520 PRODUCE,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 00:00:00+00,Food Stand,789,-78.79652253,35.70711378,M
1105359,04092021477,Lowes Foods #226 Deli,8440 louisburg rd,,RALEIGH,NC,27616,(919) 266-1031,2007/09/14 00:00:00+00,Food Stand,794,-78.50930992,35.89359383,M
1105360,04092018318,TASU #2,525 NEW WAVERLY  PL ,SUITE 103,CARY,NC,27518,(919) 977-4037,2020/02/11 00:00:00+00,Restaurant,801,-78.77756307,35.73853619,M
1105361,04092015891,AVIATOR SMOKEHOUSE,525 Broad  ST ,,FUQUAY VARINA ,NC,27526,(919) 567-2337,2011/02/18 00:00:00+00,Restaurant,792,-78.79375457,35.59301324,M
1105362,04092016439,RANDY'S PIZZA,2458 WYCLIFF RD ,,RALEIGH,NC,27607,(919) 322-5990,2013/05/31 00:00:00+00,Restaurant,810,-78.692995,35.81676997,M
1105363,04092110486,ROOT ELEMENTARY CAFETERIA,3202 NORTHAMPTON ST ,,RALEIGH,NC,27609,(919) 881-4940,2009/09/14 00:00:00+00,Public School Lunchrooms,812,-78.65043831,35.82537972,M
1105364,04092300232,Interfood Plaza Latina ,1689 North Market ST ,,RALEIGH,NC,27609,(919) 790-9936,2006/08/25 00:00:00+00,Meat Market,821,-78.6070629,35.8395659,M
1105365,04092014480,Pruitt Health - Raleigh Dining,2420 Lake Wheeler RD,,RALEIGH,NC,27603,(919) 755-0226,2006/01/10 00:00:00+00,Restaurant,844,-78.67644314,35.74808355,M
1105366,04092015548,Rudinos's Pizza & Grinders Sports Corner,3101-101 EDWARDS MILL RD ,,RALEIGH,NC,27612,(919) 786-4235,2009/12/30 00:00:00+00,Restaurant,831,-78.70695216,35.82399087,M
1105367,04092018250,Pizza Hut #036586,3691 New Bern AVE ,,RALEIGH,NC,27610,(919) 900-8096,2019/12/03 00:00:00+00,Restaurant,845,-78.57923704,35.79885313,M
1105368,04092016622,WINGIN'IT BAR AND GRILLE,1625 N MAIN ST ,STE 109,FUQUAY VARINA,NC,27526,,2014/02/28 00:00:00+00,Restaurant,863,-78.76145615,35.59674702,M
1105369,04092016497,RALEIGH CRABTREE MARRIOTT FOODSERVICE,4500 MARRIOTT DR ,,RALEIGH,NC,27612-3365,(919) 781-7000,2013/10/03 00:00:00+00,Restaurant,866,-78.67772751,35.84277362,M
1105370,04092015603,WAFFLE HOUSE #1090,1006 AIRPORT BLVD ,,MORRISVILLE,NC,27560-9195,(919) 460-0388,2010/04/19 00:00:00+00,Restaurant,878,-78.81924536,35.85853632,M
